	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	4642	2547	759	184	930	2102	1690
1	76	272	479	0	723	2971	325
2	356	479	164	241	273	3354	92
3	1070	919	304	0	602	3528	117
4	1013	407	974	184	248	31	96
5	425	611	1001	46	136	11	105
6	377	699	169	0	106	0	72
7	174	2616	349	0	1692	334	85
8	161	562	252	0	649	169	45
9	2722	656	115	155	103	2473	275
10	675	84	484	0	186	2879	1671
11	109	110	363	0	85	2849	194
12	137	853	149	48	253	2708	276
13	2388	1489	257	46	815	4039	139
14	777	556	521	264	1509	2966	276
15	38	1828	1539	0	369	3801	267
16	85	267	219	0	450	3106	53
17	51	853	336	0	2181	3311	67
18	139	217	56	0	190	2492	1931
19	720	1464	258	0	983	3724	641
20	522	470	392	0	97	2923	612
21	356	681	112	0	895	2340	871
22	373	1217	234	0	593	3691	302
23	1315	828	175	92	295	3835	137
24	2305	1455	209	16	89	1350	27
25	697	1259	222	0	255	3524	310
26	328	224	1448	0	494	2776	96
27	1762	374	833	0	1289	2071	255
28	1181	394	664	0	342	1033	2072
29	2742	359	180	0	254	3147	290
30	2487	199	333	0	550	3912	367
31	1455	410	325	0	455	3859	604
32	610	35	361	0	179	2311	274
33	1184	175	2281	0	727	2986	1073
34	269	273	1493	0	333	3182	124
35	425	106	180	0	214	4602	486
36	1631	2427	1961	0	1319	2113	2273
37	3906	1236	30	0	202	2134	258
38	735	392	492	0	113	3182	65
39	1148	367	116	0	95	3944	153
40	1376	1098	192	0	1596	3257	131
41	574	643	283	0	1552	2619	455
42	742	559	120	46	1227	3136	136
43	873	1716	11	138	801	3744	776
44	688	752	98	183	2024	3009	89
45	1579	428	2059	0	463	3701	474
46	4052	1469	620	0	792	2856	129
47	552	421	74	61	962	2352	1638
48	772	428	251	0	3102	3025	149
49	251	299	184	0	384	3888	438
50	1262	143	194	0	571	2736	267
51	236	1911	103	0	795	2988	279
52	337	132	1244	144	89	3835	298
53	311	1849	70	0	232	2989	185
54	264	524	722	0	810	3101	184
55	602	546	42	0	1225	3643	115
56	25	616	252	0	666	2902	98
57	479	1092	1204	90	993	3295	191
58	83	2400	671	0	538	2234	507
59	81	143	996	0	371	3921	108
